"DATE","TIME PERIOD","Euro short-term rate - Total volume (EST.B.EU000A2X2A25.TT)"
"2019-10-01","01 Oct 2019","35996"
"2019-10-02","02 Oct 2019","33549"
"2019-10-03","03 Oct 2019","29200"
"2019-10-04","04 Oct 2019","33907"
"2019-10-07","07 Oct 2019","33722"
"2019-10-08","08 Oct 2019","31536"
"2019-10-09","09 Oct 2019","31274"
"2019-10-10","10 Oct 2019","30526"
"2019-10-11","11 Oct 2019","32614"
"2019-10-14","14 Oct 2019","31781"
"2019-10-15","15 Oct 2019","32332"
"2019-10-16","16 Oct 2019","32703"
"2019-10-17","17 Oct 2019","32639"
"2019-10-18","18 Oct 2019","31238"
"2019-10-21","21 Oct 2019","33283"
"2019-10-22","22 Oct 2019","31588"
"2019-10-23","23 Oct 2019","33724"
"2019-10-24","24 Oct 2019","33784"
"2019-10-25","25 Oct 2019","34093"
"2019-10-28","28 Oct 2019","32366"
"2019-10-29","29 Oct 2019","32763"
"2019-10-30","30 Oct 2019","28631"
"2019-10-31","31 Oct 2019","25342"
"2019-11-01","01 Nov 2019","28931"
"2019-11-04","04 Nov 2019","36811"
"2019-11-05","05 Nov 2019","32509"
"2019-11-06","06 Nov 2019","31243"
"2019-11-07","07 Nov 2019","31578"
"2019-11-08","08 Nov 2019","29466"
"2019-11-11","11 Nov 2019","30968"
"2019-11-12","12 Nov 2019","30250"
"2019-11-13","13 Nov 2019","23482"
"2019-11-14","14 Nov 2019","30027"
"2019-11-15","15 Nov 2019","31887"
"2019-11-18","18 Nov 2019","33869"
"2019-11-19","19 Nov 2019","33067"
"2019-11-20","20 Nov 2019","39662"
"2019-11-21","21 Nov 2019","32215"
"2019-11-22","22 Nov 2019","31816"
"2019-11-25","25 Nov 2019","30528"
"2019-11-26","26 Nov 2019","32256"
"2019-11-27","27 Nov 2019","31177"
"2019-11-28","28 Nov 2019","31550"
"2019-11-29","29 Nov 2019","31101"
"2019-12-02","02 Dec 2019","32038"
"2019-12-03","03 Dec 2019","31998"
"2019-12-04","04 Dec 2019","32581"
"2019-12-05","05 Dec 2019","32804"
"2019-12-06","06 Dec 2019","28819"
"2019-12-09","09 Dec 2019","29949"
"2019-12-10","10 Dec 2019","30501"
"2019-12-11","11 Dec 2019","32579"
"2019-12-12","12 Dec 2019","31864"
"2019-12-13","13 Dec 2019","31262"
"2019-12-16","16 Dec 2019","33184"
"2019-12-17","17 Dec 2019","35867"
"2019-12-18","18 Dec 2019","29119"
"2019-12-19","19 Dec 2019","28808"
"2019-12-20","20 Dec 2019","28851"
"2019-12-23","23 Dec 2019","21805"
"2019-12-24","24 Dec 2019","21242"
"2019-12-27","27 Dec 2019","27661"
"2019-12-30","30 Dec 2019","27143"
"2019-12-31","31 Dec 2019","17978"
"2020-01-02","02 Jan 2020","26611"
"2020-01-03","03 Jan 2020","27706"
"2020-01-06","06 Jan 2020","32777"
"2020-01-07","07 Jan 2020","34235"
"2020-01-08","08 Jan 2020","35150"
"2020-01-09","09 Jan 2020","30913"
"2020-01-10","10 Jan 2020","31837"
"2020-01-13","13 Jan 2020","31245"
"2020-01-14","14 Jan 2020","28664"
"2020-01-15","15 Jan 2020","26023"
"2020-01-16","16 Jan 2020","29388"
"2020-01-17","17 Jan 2020","31817"
"2020-01-20","20 Jan 2020","33566"
"2020-01-21","21 Jan 2020","31033"
"2020-01-22","22 Jan 2020","30474"
"2020-01-23","23 Jan 2020","31463"
"2020-01-24","24 Jan 2020","33324"
"2020-01-27","27 Jan 2020","33033"
"2020-01-28","28 Jan 2020","37845"
"2020-01-29","29 Jan 2020","32714"
"2020-01-30","30 Jan 2020","32097"
"2020-01-31","31 Jan 2020","32163"
"2020-02-03","03 Feb 2020","38392"
"2020-02-04","04 Feb 2020","36167"
"2020-02-05","05 Feb 2020","35449"
"2020-02-06","06 Feb 2020","33619"
"2020-02-07","07 Feb 2020","32644"
"2020-02-10","10 Feb 2020","33678"
"2020-02-11","11 Feb 2020","32222"
"2020-02-12","12 Feb 2020","31753"
"2020-02-13","13 Feb 2020","31655"
"2020-02-14","14 Feb 2020","34136"
"2020-02-17","17 Feb 2020","35151"
"2020-02-18","18 Feb 2020","31880"
"2020-02-19","19 Feb 2020","32866"
"2020-02-20","20 Feb 2020","32691"
"2020-02-21","21 Feb 2020","35098"
"2020-02-24","24 Feb 2020","34684"
"2020-02-25","25 Feb 2020","33258"
"2020-02-26","26 Feb 2020","34286"
"2020-02-27","27 Feb 2020","31087"
"2020-02-28","28 Feb 2020","33073"
"2020-03-02","02 Mar 2020","30645"
"2020-03-03","03 Mar 2020","35167"
"2020-03-04","04 Mar 2020","40672"
"2020-03-05","05 Mar 2020","36928"
"2020-03-06","06 Mar 2020","38242"
"2020-03-09","09 Mar 2020","40232"
"2020-03-10","10 Mar 2020","45152"
"2020-03-11","11 Mar 2020","48537"
"2020-03-12","12 Mar 2020","48041"
"2020-03-13","13 Mar 2020","44382"
"2020-03-16","16 Mar 2020","39369"
"2020-03-17","17 Mar 2020","44130"
"2020-03-18","18 Mar 2020","41457"
"2020-03-19","19 Mar 2020","40550"
"2020-03-20","20 Mar 2020","38819"
"2020-03-23","23 Mar 2020","42983"
"2020-03-24","24 Mar 2020","44586"
"2020-03-25","25 Mar 2020","45443"
"2020-03-26","26 Mar 2020","44398"
"2020-03-27","27 Mar 2020","41609"
"2020-03-30","30 Mar 2020","51283"
"2020-03-31","31 Mar 2020","49020"
"2020-04-01","01 Apr 2020","53453"
"2020-04-02","02 Apr 2020","52948"
